*Vertices 100
1  "2014" ic Red fos 10
2  "2038" ic Red fos 10
3  "2086" ic Red fos 10
4  "2001" ic Red fos 10
5  "2058" ic Red fos 10
6  "2091" ic Red fos 10
7  "1963" ic Red fos 10
8  "2027" ic Red fos 10
9  "2044" ic Red fos 10
10  "1877" ic Red fos 10
11  "2022" ic Red fos 10
12  "2037" ic Red fos 10
13  "2003" ic Red fos 10
14  "1985" ic Red fos 10
15  "2020" ic Red fos 10
16  "1830" ic Red fos 10
17  "1825" ic Red fos 10
18  "2031" ic Red fos 10
19  "2071" ic Red fos 10
20  "2061" ic Red fos 10
21  "2087" ic Red fos 10
22  "2026" ic Red fos 10
23  "1995" ic Red fos 10
24  "2005" ic Red fos 10
25  "1904" ic Red fos 10
26  "2040" ic Red fos 10
27  "2024" ic Red fos 10
28  "1922" ic Red fos 10
29  "2080" ic Red fos 10
30  "1938" ic Red fos 10
31  "1991" ic Red fos 10
32  "1913" ic Red fos 10
33  "2008" ic Red fos 10
34  "2098" ic Red fos 10
35  "1958" ic Red fos 10
36  "2050" ic Red fos 10
37  "2048" ic Red fos 10
38  "2094" ic Red fos 10
39  "2097" ic Red fos 10
40  "2096" ic Red fos 10
41  "2099" ic Red fos 10
42  "2062" ic Red fos 10
43  "1952" ic Red fos 10
44  "2049" ic Red fos 10
45  "2067" ic Red fos 10
46  "2068" ic Red fos 10
47  "1818" ic Red fos 10
48  "2025" ic Red fos 10
49  "2055" ic Red fos 10
50  "2092" ic Red fos 10
51  "2089" ic Red fos 10
52  "2075" ic Red fos 10
53  "2070" ic Red fos 10
54  "2039" ic Red fos 10
55  "2060" ic Red fos 10
56  "1999" ic Red fos 10
57  "1945" ic Red fos 10
58  "2074" ic Red fos 10
59  "1944" ic Red fos 10
60  "2073" ic Red fos 10
61  "2065" ic Red fos 10
62  "1974" ic Red fos 10
63  "2069" ic Red fos 10
64  "1828" ic Red fos 10
65  "2047" ic Red fos 10
66  "1720" ic Red fos 10
67  "2077" ic Red fos 10
68  "2095" ic Red fos 10
69  "2076" ic Red fos 10
70  "1972" ic Red fos 10
71  "2051" ic Red fos 10
72  "2045" ic Red fos 10
73  "2093" ic Red fos 10
74  "2059" ic Red fos 10
75  "1953" ic Red fos 10
76  "1831" ic Red fos 10
77  "1898" ic Red fos 10
78  "2078" ic Red fos 10
79  "1955" ic Red fos 10
80  "2084" ic Red fos 10
81  "1977" ic Red fos 10
82  "2030" ic Red fos 10
83  "2006" ic Red fos 10
84  "1901" ic Red fos 10
85  "1789" ic Red fos 10
86  "2016" ic Red fos 10
87  "2063" ic Red fos 10
88  "2004" ic Red fos 10
89  "2033" ic Red fos 10
90  "2041" ic Red fos 10
91  "2085" ic Red fos 10
92  "1929" ic Red fos 10
93  "2066" ic Red fos 10
94  "2011" ic Red fos 10
95  "1907" ic Red fos 10
96  "2034" ic Red fos 10
97  "2056" ic Red fos 10
98  "2090" ic Red fos 10
99  "2032" ic Red fos 10
100  "1989" ic Red fos 10
*Edges 449
1 12 1 c Black
1 2 1 c Black
1 71 1 c Black
2 5 1 c Black
2 55 1 c Black
2 58 1 c Black
2 21 1 c Black
3 50 1 c Black
3 41 1 c Black
4 96 1 c Black
4 44 1 c Black
4 21 1 c Black
4 73 1 c Black
4 40 1 c Black
5 55 1 c Black
5 20 1 c Black
5 93 1 c Black
5 45 1 c Black
5 19 1 c Black
5 78 1 c Black
5 98 1 c Black
5 38 1 c Black
5 68 1 c Black
7 88 1 c Black
7 48 1 c Black
7 8 1 c Black
7 72 1 c Black
7 58 1 c Black
7 52 1 c Black
7 38 1 c Black
8 12 1 c Black
8 97 1 c Black
8 74 1 c Black
8 45 1 c Black
8 46 1 c Black
8 73 1 c Black
9 55 1 c Black
9 46 1 c Black
9 52 1 c Black
9 51 1 c Black
9 6 1 c Black
9 41 1 c Black
10 95 1 c Black
10 35 1 c Black
10 24 1 c Black
10 11 1 c Black
10 49 1 c Black
10 42 1 c Black
10 61 1 c Black
10 63 1 c Black
10 19 1 c Black
10 80 1 c Black
10 73 1 c Black
10 41 1 c Black
11 78 1 c Black
11 80 1 c Black
12 93 1 c Black
13 82 1 c Black
13 99 1 c Black
13 37 1 c Black
13 55 1 c Black
13 45 1 c Black
13 58 1 c Black
13 3 1 c Black
13 34 1 c Black
14 86 1 c Black
14 90 1 c Black
14 49 1 c Black
14 58 1 c Black
14 78 1 c Black
14 21 1 c Black
14 40 1 c Black
15 97 1 c Black
15 91 1 c Black
15 34 1 c Black
16 16 1 c Black
16 92 1 c Black
16 59 1 c Black
16 33 1 c Black
16 11 1 c Black
16 82 1 c Black
16 89 1 c Black
16 36 1 c Black
16 97 1 c Black
16 39 1 c Black
17 28 1 c Black
17 79 1 c Black
17 1 1 c Black
17 18 1 c Black
17 55 1 c Black
17 40 1 c Black
18 73 1 c Black
19 29 1 c Black
19 91 1 c Black
19 98 1 c Black
19 50 1 c Black
20 45 1 c Black
20 63 1 c Black
20 78 1 c Black
20 51 1 c Black
20 73 1 c Black
21 73 1 c Black
22 65 1 c Black
22 20 1 c Black
22 80 1 c Black
22 21 1 c Black
23 22 1 c Black
23 36 1 c Black
23 5 1 c Black
23 78 1 c Black
23 40 1 c Black
24 83 1 c Black
24 89 1 c Black
24 96 1 c Black
24 78 1 c Black
24 38 1 c Black
24 68 1 c Black
24 39 1 c Black
25 32 1 c Black
25 56 1 c Black
25 83 1 c Black
25 99 1 c Black
25 54 1 c Black
25 61 1 c Black
25 19 1 c Black
25 91 1 c Black
26 44 1 c Black
26 87 1 c Black
26 61 1 c Black
26 3 1 c Black
27 27 1 c Black
27 8 1 c Black
27 12 1 c Black
27 54 1 c Black
27 45 1 c Black
27 52 1 c Black
28 43 1 c Black
28 75 1 c Black
28 49 1 c Black
28 60 1 c Black
28 58 1 c Black
28 78 1 c Black
28 91 1 c Black
28 3 1 c Black
29 98 1 c Black
29 73 1 c Black
30 43 1 c Black
30 7 1 c Black
30 9 1 c Black
30 87 1 c Black
30 29 1 c Black
30 38 1 c Black
31 94 1 c Black
31 18 1 c Black
31 44 1 c Black
31 93 1 c Black
31 63 1 c Black
31 67 1 c Black
32 79 1 c Black
32 35 1 c Black
32 7 1 c Black
32 1 1 c Black
32 72 1 c Black
32 65 1 c Black
32 97 1 c Black
32 20 1 c Black
32 91 1 c Black
33 99 1 c Black
33 2 1 c Black
33 36 1 c Black
33 39 1 c Black
35 27 1 c Black
35 48 1 c Black
35 12 1 c Black
35 49 1 c Black
35 97 1 c Black
35 61 1 c Black
35 98 1 c Black
36 55 1 c Black
36 52 1 c Black
37 71 1 c Black
37 58 1 c Black
38 41 1 c Black
42 91 1 c Black
42 21 1 c Black
42 68 1 c Black
42 39 1 c Black
43 43 1 c Black
43 99 1 c Black
43 89 1 c Black
43 44 1 c Black
43 91 1 c Black
44 71 1 c Black
44 52 1 c Black
44 3 1 c Black
45 80 1 c Black
45 40 1 c Black
46 6 1 c Black
47 16 1 c Black
47 92 1 c Black
47 4 1 c Black
47 24 1 c Black
47 83 1 c Black
47 48 1 c Black
47 60 1 c Black
47 67 1 c Black
47 80 1 c Black
47 73 1 c Black
48 48 1 c Black
48 99 1 c Black
48 5 1 c Black
48 45 1 c Black
49 63 1 c Black
49 29 1 c Black
49 50 1 c Black
49 39 1 c Black
49 41 1 c Black
51 98 1 c Black
52 52 1 c Black
52 78 1 c Black
53 52 1 c Black
53 3 1 c Black
53 50 1 c Black
53 38 1 c Black
54 26 1 c Black
54 20 1 c Black
54 29 1 c Black
55 55 1 c Black
55 20 1 c Black
55 53 1 c Black
55 60 1 c Black
55 40 1 c Black
56 24 1 c Black
56 22 1 c Black
56 91 1 c Black
57 57 1 c Black
57 62 1 c Black
57 1 1 c Black
57 96 1 c Black
57 9 1 c Black
57 71 1 c Black
58 52 1 c Black
58 29 1 c Black
59 75 1 c Black
59 12 1 c Black
59 54 1 c Black
59 26 1 c Black
59 53 1 c Black
59 69 1 c Black
59 67 1 c Black
59 34 1 c Black
60 67 1 c Black
60 21 1 c Black
60 73 1 c Black
61 93 1 c Black
61 41 1 c Black
62 31 1 c Black
62 56 1 c Black
62 88 1 c Black
62 94 1 c Black
62 1 1 c Black
62 97 1 c Black
62 63 1 c Black
62 60 1 c Black
62 69 1 c Black
62 34 1 c Black
63 19 1 c Black
63 3 1 c Black
63 51 1 c Black
63 98 1 c Black
64 64 1 c Black
64 30 1 c Black
64 14 1 c Black
64 96 1 c Black
64 37 1 c Black
64 71 1 c Black
64 67 1 c Black
64 41 1 c Black
65 37 1 c Black
65 87 1 c Black
65 67 1 c Black
65 78 1 c Black
65 3 1 c Black
65 51 1 c Black
66 77 1 c Black
66 25 1 c Black
66 81 1 c Black
66 83 1 c Black
66 99 1 c Black
66 65 1 c Black
66 44 1 c Black
66 61 1 c Black
66 67 1 c Black
67 40 1 c Black
69 21 1 c Black
70 18 1 c Black
70 37 1 c Black
70 42 1 c Black
70 53 1 c Black
70 52 1 c Black
70 40 1 c Black
71 87 1 c Black
71 63 1 c Black
71 91 1 c Black
71 98 1 c Black
72 72 1 c Black
72 87 1 c Black
72 52 1 c Black
73 73 1 c Black
74 74 1 c Black
74 38 1 c Black
74 39 1 c Black
75 79 1 c Black
75 35 1 c Black
75 81 1 c Black
75 13 1 c Black
75 24 1 c Black
75 15 1 c Black
75 82 1 c Black
75 2 1 c Black
75 9 1 c Black
75 58 1 c Black
75 69 1 c Black
76 70 1 c Black
76 14 1 c Black
76 23 1 c Black
76 11 1 c Black
76 9 1 c Black
76 71 1 c Black
76 49 1 c Black
76 80 1 c Black
76 91 1 c Black
77 95 1 c Black
77 32 1 c Black
77 75 1 c Black
77 62 1 c Black
77 82 1 c Black
77 65 1 c Black
77 42 1 c Black
77 87 1 c Black
77 63 1 c Black
77 58 1 c Black
77 91 1 c Black
77 3 1 c Black
77 40 1 c Black
78 80 1 c Black
78 40 1 c Black
78 41 1 c Black
79 87 1 c Black
79 52 1 c Black
79 67 1 c Black
79 39 1 c Black
81 94 1 c Black
81 15 1 c Black
81 99 1 c Black
81 72 1 c Black
81 78 1 c Black
81 80 1 c Black
81 39 1 c Black
82 90 1 c Black
82 71 1 c Black
82 49 1 c Black
82 80 1 c Black
82 39 1 c Black
83 1 1 c Black
83 2 1 c Black
83 19 1 c Black
83 69 1 c Black
84 25 1 c Black
84 100 1 c Black
84 88 1 c Black
84 94 1 c Black
84 22 1 c Black
84 37 1 c Black
84 21 1 c Black
84 50 1 c Black
84 38 1 c Black
85 84 1 c Black
85 35 1 c Black
85 31 1 c Black
85 11 1 c Black
85 74 1 c Black
85 42 1 c Black
85 46 1 c Black
85 98 1 c Black
86 18 1 c Black
86 12 1 c Black
86 49 1 c Black
86 51 1 c Black
86 50 1 c Black
87 45 1 c Black
87 6 1 c Black
87 41 1 c Black
88 33 1 c Black
88 8 1 c Black
88 29 1 c Black
89 78 1 c Black
89 98 1 c Black
90 93 1 c Black
90 53 1 c Black
90 78 1 c Black
90 40 1 c Black
90 41 1 c Black
91 51 1 c Black
91 50 1 c Black
91 38 1 c Black
91 39 1 c Black
92 90 1 c Black
92 20 1 c Black
92 87 1 c Black
93 46 1 c Black
93 60 1 c Black
94 22 1 c Black
94 82 1 c Black
94 37 1 c Black
94 44 1 c Black
94 34 1 c Black
95 92 1 c Black
95 14 1 c Black
95 33 1 c Black
95 78 1 c Black
95 98 1 c Black
95 6 1 c Black
96 9 1 c Black
96 44 1 c Black
96 97 1 c Black
96 55 1 c Black
96 93 1 c Black
96 40 1 c Black
96 34 1 c Black
96 41 1 c Black
97 87 1 c Black
97 46 1 c Black
97 63 1 c Black
97 53 1 c Black
98 34 1 c Black
99 5 1 c Black
99 93 1 c Black
99 45 1 c Black
99 69 1 c Black
99 6 1 c Black
100 56 1 c Black
100 44 1 c Black
100 5 1 c Black
100 46 1 c Black
100 63 1 c Black
100 80 1 c Black
100 98 1 c Black
100 68 1 c Black
